Company,City,State,Zip,License #,Website,Phone,Email,Demo URL,Notes
1 800 Plumber+air Pacific Nw; Wired Together Electric,Beaverton,OR,97005,C1942,https://wiredtogether.com/,(971) 979-4733,info@wiredtogether.com,https://canyon-ridge-demo.vercel.app/biz/1-800-plumber-air-pacific-nw-wired-together-electric/,"Dual-brand entity (plumbing+electrical, same owner/address) — matched to the electrical-specific brand 'Wired Together Electric'."
3 Brothers Home Solutions,Portland,OR,97267,C2137,https://3brothershomesolutions.com/,971-340-6837,mike@3brothershomesolutions.com,https://canyon-ridge-demo.vercel.app/biz/3-brothers-home-solutions/,High confidence.
360 Electric INC,Harrisburg,OR,97446,C868,https://www.360-electric.com/,(541) 514-8028,contact@360-electric.com,https://canyon-ridge-demo.vercel.app/biz/360-electric-inc/,"High confidence — corroborated by BBB, Chamber, BuildZoom."
3RD Rock Electric LLC,Madras,OR,97741,C2038,https://electricianmadras.com/,(458) 262-6889,,https://canyon-ridge-demo.vercel.app/biz/3rd-rock-electric-llc/,No published email — contact form only.
4 Point Electric LLC,Springfield,OR,97478,C1678,https://4pointelectric.com/,(541) 632-6545,,https://canyon-ridge-demo.vercel.app/biz/4-point-electric-llc/,High confidence on ID/phone (CCB #239271 active); no email published.
4G Electric,Albany,OR,97322,C1969,,(541) 936-4133,,https://canyon-ridge-demo.vercel.app/biz/4g-electric/,"Operates as a DBA of McLain Electric Inc; matched via BuildZoom permit record, no independent site."
4S Electrical Contractors LLC,Yamhill,OR,97148,C1631,,,,https://canyon-ridge-demo.vercel.app/biz/4s-electrical-contractors-llc/,Confirmed to exist via CCB #231151 only — no phone/site/listing found anywhere.
5 Star Electric INC,Salem,OR,97302,C339,,(503) 851-4360,,https://canyon-ridge-demo.vercel.app/biz/5-star-electric-inc/,Matched via BBB profile (owner Frances Turner) + Yelp/BuildZoom. No email published.
84 Electric,Portland,OR,97293,C567,,,,https://canyon-ridge-demo.vercel.app/biz/84-electric/,FLAG: could not locate this business at all in Portland OR — recommend verifying legal name/CCB# before outreach.
A & A Electrical Contractors INC,Salem,OR,97306,36-38C,,(503) 949-3193,,https://canyon-ridge-demo.vercel.app/biz/a-and-a-electrical-contractors-inc/,"High confidence on ID/phone (BBB, in business since 1984); no site found, relies on directories."
A & E Security & Electronic Solutions; A & E Technology And,Mcminnville,OR,97128,C1919,https://www.4security.org,(503) 472-6439,help@4security.org,https://canyon-ridge-demo.vercel.app/biz/a-and-e-security-and-electronic-solutions-a-and-e-technology/,High confidence — operates under brand '4security'.
A & J Electric INC,Forest Grove,OR,97116-0330,34-1C,https://www.aandj-electric.com,(503) 359-5891,leeann@aandj-electric.com,https://canyon-ridge-demo.vercel.app/biz/a-and-j-electric-inc/,"High confidence — CCB #959 active, matches IBEW Local 48 directory."
A And R Solar SPC,Tualatin,OR,97062,C1179,https://www.a-rsolar.com,(503) 420-8680,info@a-rsolar.com,https://canyon-ridge-demo.vercel.app/biz/a-and-r-solar-spc/,Tualatin branch of a Seattle-HQ'd company.
A Temp Heating & Cooling INC,Clackamas,OR,97015,C55,https://www.atempheating.com,(503) 694-3396,,https://canyon-ridge-demo.vercel.app/biz/a-temp-heating-and-cooling-inc/,"High confidence on ID; no general business email published (only a data-broker-sourced individual email, excluded)."
A-Tech Electric LLC,Culver,OR,97734,C1089,,(503) 781-3946,,https://canyon-ridge-demo.vercel.app/biz/a-tech-electric-llc/,"LOW CONFIDENCE — directories show this Culver, OR phone, but the apparent matching website (atechelectricpdx.com, email jim@atechelectricpdx.com) is Portland-based with a different phone. Could be same owner/different location or two unrelated businesses. Verify by phone before emailing."
